#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B2E8C4
#Date Time: 2024-03-09 19:22:30.254
#Trace: Trace 3
#Start: 0 Hz
#Stop: 22050 Hz
#BINs: 220501
#Rate: 44100 Hz
#Samples: 441000
#Channel: Hold
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.64944 V
#Offset: -0.000314816 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.57613 V
#Offset: -0.000136948 V
#Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Lydsignal_62.wav
#Frequency: 44.1 kHz
#Period: 22.675737 us
#Amplitude: 1 V
#Offset: 0 V

Frequency (Hz),Trace 3 (dBV),Phase (deg)
0,-72.89162152933483,56.9694478706029
0.7706459122474747,-77.71731212179458,58.63910666497759
1.541291824494949,-67.28927415199641,25.24731012932287
2.311937736742424,-68.31959906924058,82.00618641681004
3.082583648989899,-75.14061844110131,30.54360979292947
3.853229561237374,-64.37073144231692,25.90743890041932
4.623875473484848,-72.82027592742122,116.8884430310311
5.394521385732323,-74.42010810953641,24.17596279102326
6.165167297979798,-66.58808361571107,168.0373965385651
6.935813210227272,-70.64997601812628,138.817789652027
7.706459122474747,-66.46901892009937,57.31801078227734
8.477105034722221,-68.01326341684423,17.68934824646213
9.247750946969695,-66.12978468769623,75.98039889526561
10.01839685921717,-62.22173017971983,131.085277615756
10.78904277146465,-65.8789996930652,66.81627538534035
11.55968868371212,-65.5488909014081,19.69993779733376
12.3303345959596,-61.98886199064818,37.14435245035946
13.10098050820707,-68.02516831361872,108.2841016853263
13.87162642045454,-58.9335564434374,47.22242808502985
14.64227233270202,-66.32578162899901,162.2405625617572
15.41291824494949,-98.12748003403289,69.93093773311263
16.18356415719697,-69.22884621428381,155.4338489024483
16.95421006944444,-66.15499076814521,104.547655001591
17.72485598169192,-61.36864442636667,112.4446851319809
18.49550189393939,-84.59652034182449,157.2854437378356
19.26614780618687,-76.48627706655139,112.5164576729512
20.03679371843434,-77.74340268252078,104.3070403558637
20.80743963068182,-69.42245192242318,164.6919209846961
21.57808554292929,-67.13827658043438,124.6499198839398
22.34873145517676,-67.60203398072663,4.622753281684439
23.11937736742424,-74.24384641308365,179.1659935527415
23.89002327967172,-74.32050560159907,113.275005825675
24.66066919191919,-75.66095080435221,1.112854261869336
25.43131510416666,-72.7508682473787,154.6017919902043
26.20196101641414,-75.96864824814018,31.36232930006668
26.97260692866162,-62.30273652875778,99.83309121741657
27.74325284090909,-64.74057051548515,120.9690129838981
28.51389875315656,-67.17593432256453,53.10058535536511
29.28454466540404,-71.78842872597403,150.1700296402634
30.05519057765151,-69.61757273304319,47.24915797927382
30.82583648989899,-83.10437772703614,12.9518459775696
31.59648240214646,-70.96209376967431,58.03716975521669
32.36712831439394,-67.71045303720229,124.6235992355186
33.13777422664141,-63.72899802776688,6.002372725187229
33.90842013888889,-66.31104356007097,104.9215750371687
34.67906605113636,-67.44845411088073,110.4368221517784
35.44971196338383,-63.17417949572935,78.81044849738913
36.22035787563131,-60.13409579391997,78.47243122921904
36.99100378787878,-65.45990504840324,69.30698651114128
37.76164970012626,-61.88930062283293,69.77110256543492
38.53229561237374,-65.71905423007254,156.6900518012761
39.30294152462121,-61.67746272646983,91.89383302005334
40.07358743686869,-67.18957299899975,0.268724220189293
40.84423334911616,-66.6987437327907,175.0323363059817
41.61487926136363,-66.47346535661761,66.05100099505083
42.38552517361111,-66.39092760621425,154.1126605138122
43.15617108585858,-63.05296040415782,124.4009308782543
43.92681699810606,-78.73789053118523,12.01415580219023
44.69746291035353,-64.86848530703928,6.372505319979314
45.46810882260101,-68.9328849498132,83.47173269101087
46.23875473484848,-74.81687324731156,120.297790114946
47.00940064709596,-70.70477992765379,177.7182977124909
47.78004655934343,-64.62455144815011,99.8383890526549
48.55069247159091,-63.85171317176113,51.11474176703968
49.32133838383838,-72.06497777486491,167.9483827898048
50.09198429608585,-69.33056277679316,129.1728062214108
50.86263020833333,-67.23137065546672,62.22076511930707
51.6332761205808,-82.86198753690739,56.9785244864189
52.40392203282828,-67.85889486469161,49.25114860240943
53.17456794507575,-57.6372240817912,133.5830540667959
53.94521385732323,-56.50941445935166,90.96946380474772
54.71585976957071,-62.20345504523966,129.3108096046355
55.48650568181818,-67.63391851745604,155.0351418086842
56.25715159406565,-68.77089943066849,54.38957844466509
57.02779750631313,-65.94505544927117,96.28375779536334
57.7984434185606,-59.72156918149257,173.6871366750889
58.56908933080808,-46.37112920495787,7.981902723663296
59.33973524305555,-58.35192545246001,51.11497394528985
60.11038115530302,-64.6353635814593,113.7472610252768
60.8810270675505,-69.99869311458311,89.01202929640532
61.65167297979798,-65.90794805899307,69.8855108748978
62.42231889204545,-58.3148065317658,38.64775183383883
63.19296480429293,-50.74071260163788,19.08121233925877
63.9636107165404,-68.86507184446262,10.57731960662202
64.73425662878788,-69.07332557790853,156.4680426460769
65.50490254103535,-79.13256839303966,78.58817253501331
66.27554845328282,-71.90652296281911,151.9060828664908
67.0461943655303,-73.32818127544093,114.844998097721
67.81684027777777,-71.86139082930066,166.6244198868574
68.58748619002525,-64.81845268125822,170.8875309309315
69.35813210227272,-76.81995664341389,72.51994693954069
70.12877801452019,-67.46486960634145,104.0553192554743
70.89942392676767,-64.31524103784236,113.0307133463662
71.67006983901514,-63.46262830964545,70.57022784218167
72.44071575126262,-65.48322523034257,90.00807394106955
73.21136166351009,-60.40260503005982,159.4921470953205
73.98200757575756,-67.59532310927685,152.0669918791571
74.75265348800505,-69.84183868917385,19.03876672013088
75.52329940025253,-66.81214410109064,140.9223775822559
76.2939453125,-71.38581688596685,46.18522555789196
77.06459122474747,-66.49346559779113,64.31505368608157
77.83523713699495,-66.54125276551457,164.6525254029542
78.60588304924242,-68.87399154674755,15.21815801084401
